"","date","normTitleCategory","clicks.sum"
"130",2016-10-03,"engcivil",1757
"131",2016-10-03,"engelectric",2556
"132",2016-10-03,"engid",6040
"133",2016-10-03,"engmech",2016
"134",2016-10-03,"finance",4455
"135",2016-10-03,"food",39767
"136",2016-10-03,"hospitality",3389
"137",2016-10-03,"hr",20106
"138",2016-10-03,"install",50582
"139",2016-10-03,"insurance",5680
"140",2016-10-03,"legal",8291
"141",2016-10-03,"management",73072
"142",2016-10-03,"manufacturing",21041
"143",2016-10-03,"marketing",15922
"144",2016-10-03,"math",5017
"145",2016-10-03,"meddental",3450
"146",2016-10-03,"meddr",6692
"147",2016-10-03,"media",6595
"148",2016-10-03,"medinfo",13899
"149",2016-10-03,"mednurse",45668
"150",2016-10-03,"medtech",29733
"151",2016-10-03,"military",530
"152",2016-10-03,"mining",193
"153",2016-10-03,"personal",4245
"154",2016-10-03,"pharmacy",7069
"155",2016-10-03,"project",12650
"156",2016-10-03,"protective",13372
"157",2016-10-03,"realestate",5720
"158",2016-10-03,"retail",60623
"159",2016-10-03,"sales",54111
"160",2016-10-03,"sanitation",21448
"161",2016-10-03,"science",10554
"162",2016-10-03,"service",31189
"163",2016-10-03,"socialscience",1136
"164",2016-10-03,"sports",3379
"165",2016-10-03,"tech",98
"166",2016-10-03,"techhelp",12939
"167",2016-10-03,"techinfo",21006
"168",2016-10-03,"techsoftware",27853
"169",2016-10-03,"therapy",10691
"170",2016-10-03,"transport",4452
"171",2016-10-03,"uncategorized",25174
"172",2016-10-03,"veterinary",5670
"173",2016-10-03,"warehouse",35116
"174",2016-10-03,NA,52717
"175",2016-10-04,"accounting",27078
"176",2016-10-04,"admin",90438
"177",2016-10-04,"agriculture",534
"178",2016-10-04,"arch",1459
"179",2016-10-04,"arts",6671
"180",2016-10-04,"aviation",1313
"181",2016-10-04,"care",9741
"182",2016-10-04,"childcare",16005
"183",2016-10-04,"construction",15164
"184",2016-10-04,"customer",58804
"185",2016-10-04,"driver",33759
"186",2016-10-04,"education",25936
"187",2016-10-04,"engchem",824
"188",2016-10-04,"engcivil",1491
"189",2016-10-04,"engelectric",2538
"190",2016-10-04,"engid",5823
"191",2016-10-04,"engmech",2845
"192",2016-10-04,"finance",4371
"193",2016-10-04,"food",38072
"194",2016-10-04,"hospitality",2941
"195",2016-10-04,"hr",19962
"196",2016-10-04,"install",50646
"197",2016-10-04,"insurance",5485
"198",2016-10-04,"legal",8499
"199",2016-10-04,"management",71530
"200",2016-10-04,"manufacturing",22947
"201",2016-10-04,"marketing",15814
"202",2016-10-04,"math",4456
"203",2016-10-04,"meddental",3614
"204",2016-10-04,"meddr",6781
"205",2016-10-04,"media",6221
"206",2016-10-04,"medinfo",14521
"207",2016-10-04,"mednurse",46875
"208",2016-10-04,"medtech",29262
"209",2016-10-04,"military",542
"210",2016-10-04,"mining",181
"211",2016-10-04,"personal",3689
"212",2016-10-04,"pharmacy",6630
"213",2016-10-04,"project",12702
"214",2016-10-04,"protective",13483
"215",2016-10-04,"realestate",5925
"216",2016-10-04,"retail",60513
"217",2016-10-04,"sales",54180
"218",2016-10-04,"sanitation",21839
"219",2016-10-04,"science",10697
"220",2016-10-04,"service",32082
"221",2016-10-04,"socialscience",995
"222",2016-10-04,"sports",3534
"223",2016-10-04,"tech",131
"224",2016-10-04,"techhelp",13329
"225",2016-10-04,"techinfo",20720
"226",2016-10-04,"techsoftware",26056
"227",2016-10-04,"therapy",11704
"228",2016-10-04,"transport",4266
"229",2016-10-04,"uncategorized",26295
"230",2016-10-04,"veterinary",5527
"231",2016-10-04,"warehouse",33917
"232",2016-10-04,NA,51817
"233",2016-10-05,"accounting",28078
"234",2016-10-05,"admin",91765
"235",2016-10-05,"agriculture",497
"236",2016-10-05,"arch",1390
"237",2016-10-05,"arts",5263
"238",2016-10-05,"aviation",1164
"239",2016-10-05,"care",9849
"240",2016-10-05,"childcare",17123
"241",2016-10-05,"construction",15047
"242",2016-10-05,"customer",55887
"243",2016-10-05,"driver",36256
"244",2016-10-05,"education",26597
"245",2016-10-05,"engchem",890
"246",2016-10-05,"engcivil",1603
"247",2016-10-05,"engelectric",2554
"248",2016-10-05,"engid",6335
"249",2016-10-05,"engmech",3266
"250",2016-10-05,"finance",5227
"251",2016-10-05,"food",41944
"252",2016-10-05,"hospitality",3377
"253",2016-10-05,"hr",19657
"254",2016-10-05,"install",52535
"255",2016-10-05,"insurance",6548
"256",2016-10-05,"legal",8827
"257",2016-10-05,"management",80719
"258",2016-10-05,"manufacturing",23296
"259",2016-10-05,"marketing",15608
"260",2016-10-05,"math",4819
"261",2016-10-05,"meddental",3592
"262",2016-10-05,"meddr",7173
"263",2016-10-05,"media",6605
"264",2016-10-05,"medinfo",16122
"265",2016-10-05,"mednurse",44712
"266",2016-10-05,"medtech",31033
"267",2016-10-05,"military",867
"268",2016-10-05,"mining",171
"269",2016-10-05,"personal",4000
"270",2016-10-05,"pharmacy",7390
"271",2016-10-05,"project",12929
"272",2016-10-05,"protective",14315
"273",2016-10-05,"realestate",6258
"274",2016-10-05,"retail",67489
"275",2016-10-05,"sales",55392
"276",2016-10-05,"sanitation",22871
"277",2016-10-05,"science",11973
"278",2016-10-05,"service",31827
"279",2016-10-05,"socialscience",974
"280",2016-10-05,"sports",3885
"281",2016-10-05,"tech",108
"282",2016-10-05,"techhelp",13084
"283",2016-10-05,"techinfo",21666
"284",2016-10-05,"techsoftware",26683
"285",2016-10-05,"therapy",11307
"286",2016-10-05,"transport",4514
"287",2016-10-05,"uncategorized",30869
"288",2016-10-05,"veterinary",5296
"289",2016-10-05,"warehouse",33463
"290",2016-10-05,NA,52364
"291",2016-10-06,"accounting",24809
"292",2016-10-06,"admin",91393
"293",2016-10-06,"agriculture",475
"294",2016-10-06,"arch",1291
"295",2016-10-06,"arts",5409
"296",2016-10-06,"aviation",993
"297",2016-10-06,"care",8698
"298",2016-10-06,"childcare",14231
"299",2016-10-06,"construction",13820
"300",2016-10-06,"customer",47032
"301",2016-10-06,"driver",32629
"302",2016-10-06,"education",24227
"303",2016-10-06,"engchem",575
"304",2016-10-06,"engcivil",1703
"305",2016-10-06,"engelectric",2553
"306",2016-10-06,"engid",6673
"307",2016-10-06,"engmech",3010
"308",2016-10-06,"finance",4537
"309",2016-10-06,"food",35515
"310",2016-10-06,"hospitality",2886
"311",2016-10-06,"hr",18523
"312",2016-10-06,"install",46893
"313",2016-10-06,"insurance",5902
"314",2016-10-06,"legal",8222
"315",2016-10-06,"management",68947
"316",2016-10-06,"manufacturing",22460
"317",2016-10-06,"marketing",14140
"318",2016-10-06,"math",4597
"319",2016-10-06,"meddental",2898
"320",2016-10-06,"meddr",6156
"321",2016-10-06,"media",5795
"322",2016-10-06,"medinfo",16518
"323",2016-10-06,"mednurse",43193
"324",2016-10-06,"medtech",29068
"325",2016-10-06,"military",406
"326",2016-10-06,"mining",216
"327",2016-10-06,"personal",3510
"328",2016-10-06,"pharmacy",5695
"329",2016-10-06,"project",12045
"330",2016-10-06,"protective",14139
"331",2016-10-06,"realestate",5685
"332",2016-10-06,"retail",55921
"333",2016-10-06,"sales",48823
"334",2016-10-06,"sanitation",19191
"335",2016-10-06,"science",11364
"336",2016-10-06,"service",28941
"337",2016-10-06,"socialscience",1072
"338",2016-10-06,"sports",3491
"339",2016-10-06,"tech",92
"340",2016-10-06,"techhelp",12100
"341",2016-10-06,"techinfo",18785
"342",2016-10-06,"techsoftware",27105
"343",2016-10-06,"therapy",10271
"344",2016-10-06,"transport",4291
"345",2016-10-06,"uncategorized",24030
"346",2016-10-06,"veterinary",5149
"347",2016-10-06,"warehouse",29642
"348",2016-10-06,NA,44471
"349",2016-10-07,"accounting",22294
"350",2016-10-07,"admin",75926
"351",2016-10-07,"agriculture",551
"352",2016-10-07,"arch",1243
"353",2016-10-07,"arts",4678
"354",2016-10-07,"aviation",794
"355",2016-10-07,"care",6879
"356",2016-10-07,"childcare",12782
"357",2016-10-07,"construction",11027
"358",2016-10-07,"customer",43045
"359",2016-10-07,"driver",30130
"360",2016-10-07,"education",21936
"361",2016-10-07,"engchem",395
"362",2016-10-07,"engcivil",1556
"363",2016-10-07,"engelectric",2721
"364",2016-10-07,"engid",5388
"365",2016-10-07,"engmech",2145
"366",2016-10-07,"finance",3778
"367",2016-10-07,"food",34666
"368",2016-10-07,"hospitality",2419
"369",2016-10-07,"hr",14650
"370",2016-10-07,"install",38995
"371",2016-10-07,"insurance",4606
"372",2016-10-07,"legal",6545
"373",2016-10-07,"management",59844
"374",2016-10-07,"manufacturing",18232
"375",2016-10-07,"marketing",12371
"376",2016-10-07,"math",3340
"377",2016-10-07,"meddental",3119
"378",2016-10-07,"meddr",5137
"379",2016-10-07,"media",4516
"380",2016-10-07,"medinfo",13519
"381",2016-10-07,"mednurse",38076
"382",2016-10-07,"medtech",25648
"383",2016-10-07,"military",400
"384",2016-10-07,"mining",323
"385",2016-10-07,"personal",2752
"386",2016-10-07,"pharmacy",4953
"387",2016-10-07,"project",10398
"388",2016-10-07,"protective",12429
"389",2016-10-07,"realestate",4899
"390",2016-10-07,"retail",49259
"391",2016-10-07,"sales",41387
"392",2016-10-07,"sanitation",17295
"393",2016-10-07,"science",9310
"394",2016-10-07,"service",24903
"395",2016-10-07,"socialscience",826
"396",2016-10-07,"sports",2801
"397",2016-10-07,"tech",92
"398",2016-10-07,"techhelp",10016
"399",2016-10-07,"techinfo",17816
"400",2016-10-07,"techsoftware",24726
"401",2016-10-07,"therapy",9357
"402",2016-10-07,"transport",3070
"403",2016-10-07,"uncategorized",22016
"404",2016-10-07,"veterinary",3921
"405",2016-10-07,"warehouse",23638
"406",2016-10-07,NA,40694
"407",2016-10-08,"accounting",17949
"408",2016-10-08,"admin",58767
"409",2016-10-08,"agriculture",386
"410",2016-10-08,"arch",1027
"411",2016-10-08,"arts",3694
"412",2016-10-08,"aviation",615
"413",2016-10-08,"care",5953
"414",2016-10-08,"childcare",11822
"415",2016-10-08,"construction",8937
"416",2016-10-08,"customer",35393
"417",2016-10-08,"driver",25028
"418",2016-10-08,"education",19117
"419",2016-10-08,"engchem",399
"420",2016-10-08,"engcivil",1336
"421",2016-10-08,"engelectric",2447
"422",2016-10-08,"engid",3632
"423",2016-10-08,"engmech",1881
"424",2016-10-08,"finance",3305
"425",2016-10-08,"food",29279
"426",2016-10-08,"hospitality",2514
"427",2016-10-08,"hr",11587
"428",2016-10-08,"install",33755
"429",2016-10-08,"insurance",4077
"430",2016-10-08,"legal",5134
"431",2016-10-08,"management",52233
"432",2016-10-08,"manufacturing",14322
"433",2016-10-08,"marketing",9529
"434",2016-10-08,"math",2823
"435",2016-10-08,"meddental",2803
"436",2016-10-08,"meddr",4421
"437",2016-10-08,"media",4159
"438",2016-10-08,"medinfo",10648
"439",2016-10-08,"mednurse",33520
"440",2016-10-08,"medtech",22597
"441",2016-10-08,"military",283
"442",2016-10-08,"mining",221
"443",2016-10-08,"personal",2906
"444",2016-10-08,"pharmacy",4675
"445",2016-10-08,"project",8357
"446",2016-10-08,"protective",9756
"447",2016-10-08,"realestate",4438
"448",2016-10-08,"retail",40718
"449",2016-10-08,"sales",36090
"450",2016-10-08,"sanitation",15486
"451",2016-10-08,"science",8010
"452",2016-10-08,"service",21769
"453",2016-10-08,"socialscience",583
"454",2016-10-08,"sports",2649
"455",2016-10-08,"tech",32
"456",2016-10-08,"techhelp",7631
"457",2016-10-08,"techinfo",13666
"458",2016-10-08,"techsoftware",18863
"459",2016-10-08,"therapy",7826
"460",2016-10-08,"transport",2764
"461",2016-10-08,"uncategorized",18712
"462",2016-10-08,"veterinary",3975
"463",2016-10-08,"warehouse",21028
"464",2016-10-08,NA,34448
"465",2016-10-09,"accounting",19528
"466",2016-10-09,"admin",61227
"467",2016-10-09,"agriculture",482
"468",2016-10-09,"arch",983
"469",2016-10-09,"arts",4131
"470",2016-10-09,"aviation",601
"471",2016-10-09,"care",7042
"472",2016-10-09,"childcare",14039
"473",2016-10-09,"construction",10346
"474",2016-10-09,"customer",41202
"475",2016-10-09,"driver",29179
"476",2016-10-09,"education",22037
"477",2016-10-09,"engchem",498
"478",2016-10-09,"engcivil",1257
"479",2016-10-09,"engelectric",1998
"480",2016-10-09,"engid",4175
"481",2016-10-09,"engmech",1737
"482",2016-10-09,"finance",3291
"483",2016-10-09,"food",34886
"484",2016-10-09,"hospitality",2564
"485",2016-10-09,"hr",12926
"486",2016-10-09,"install",38246
"487",2016-10-09,"insurance",4914
"488",2016-10-09,"legal",4796
"489",2016-10-09,"management",59464
"490",2016-10-09,"manufacturing",15789
"491",2016-10-09,"marketing",9805
"492",2016-10-09,"math",3531
"493",2016-10-09,"meddental",3011
"494",2016-10-09,"meddr",4955
"495",2016-10-09,"media",5002
"496",2016-10-09,"medinfo",11274
"497",2016-10-09,"mednurse",34271
"498",2016-10-09,"medtech",23076
"499",2016-10-09,"military",497
"500",2016-10-09,"mining",241
"501",2016-10-09,"personal",4029
"502",2016-10-09,"pharmacy",5395
"503",2016-10-09,"project",8733
"504",2016-10-09,"protective",11010
"505",2016-10-09,"realestate",4474
"506",2016-10-09,"retail",47306
"507",2016-10-09,"sales",42107
"508",2016-10-09,"sanitation",16483
"509",2016-10-09,"science",8180
"510",2016-10-09,"service",22789
"511",2016-10-09,"socialscience",757
"512",2016-10-09,"sports",2701
"513",2016-10-09,"tech",24
"514",2016-10-09,"techhelp",8063
"515",2016-10-09,"techinfo",14055
"516",2016-10-09,"techsoftware",18131
"517",2016-10-09,"therapy",8211
"518",2016-10-09,"transport",2882
"519",2016-10-09,"uncategorized",21366
"520",2016-10-09,"veterinary",4612
"521",2016-10-09,"warehouse",24356
"522",2016-10-09,NA,38252
"523",2016-10-10,"accounting",27635
"524",2016-10-10,"admin",83175
"525",2016-10-10,"agriculture",503
"526",2016-10-10,"arch",1400
"527",2016-10-10,"arts",5350
"528",2016-10-10,"aviation",748
"529",2016-10-10,"care",8243
"530",2016-10-10,"childcare",15148
"531",2016-10-10,"construction",14385
"532",2016-10-10,"customer",60321
"533",2016-10-10,"driver",36000
"534",2016-10-10,"education",26401
"535",2016-10-10,"engchem",510
"536",2016-10-10,"engcivil",1664
"537",2016-10-10,"engelectric",2840
"538",2016-10-10,"engid",5679
"539",2016-10-10,"engmech",2245
"540",2016-10-10,"finance",4591
"541",2016-10-10,"food",40155
"542",2016-10-10,"hospitality",3096
"543",2016-10-10,"hr",18485
"544",2016-10-10,"install",48212
"545",2016-10-10,"insurance",6034
"546",2016-10-10,"legal",7046
"547",2016-10-10,"management",72366
"548",2016-10-10,"manufacturing",20489
"549",2016-10-10,"marketing",15702
"550",2016-10-10,"math",4943
"551",2016-10-10,"meddental",3708
"552",2016-10-10,"meddr",6475
"553",2016-10-10,"media",6469
"554",2016-10-10,"medinfo",15739
"555",2016-10-10,"mednurse",44813
"556",2016-10-10,"medtech",27517
"557",2016-10-10,"military",445
"558",2016-10-10,"mining",269
"559",2016-10-10,"personal",3394
"560",2016-10-10,"pharmacy",5219
"561",2016-10-10,"project",12237
"562",2016-10-10,"protective",12801
"563",2016-10-10,"realestate",6292
"564",2016-10-10,"retail",57108
"565",2016-10-10,"sales",55741
"566",2016-10-10,"sanitation",21068
"567",2016-10-10,"science",10685
"568",2016-10-10,"service",29778
"569",2016-10-10,"socialscience",920
"570",2016-10-10,"sports",4059
"571",2016-10-10,"tech",168
"572",2016-10-10,"techhelp",11406
"573",2016-10-10,"techinfo",20641
"574",2016-10-10,"techsoftware",28004
"575",2016-10-10,"therapy",10618
"576",2016-10-10,"transport",4357
"577",2016-10-10,"uncategorized",24898
"578",2016-10-10,"veterinary",5006
"579",2016-10-10,"warehouse",31701
"580",2016-10-10,NA,47256
"581",2016-10-11,"accounting",28300
"582",2016-10-11,"admin",83950
"583",2016-10-11,"agriculture",539
"584",2016-10-11,"arch",2005
"585",2016-10-11,"arts",5210
"586",2016-10-11,"aviation",786
"587",2016-10-11,"care",9824
"588",2016-10-11,"childcare",14732
"589",2016-10-11,"construction",13435
"590",2016-10-11,"customer",54779
"591",2016-10-11,"driver",34940
"592",2016-10-11,"education",26767
"593",2016-10-11,"engchem",451
"594",2016-10-11,"engcivil",1611
"595",2016-10-11,"engelectric",2484
"596",2016-10-11,"engid",5903
"597",2016-10-11,"engmech",2406
"598",2016-10-11,"finance",5012
"599",2016-10-11,"food",38874
"600",2016-10-11,"hospitality",3150
"601",2016-10-11,"hr",19192
"602",2016-10-11,"install",49592
"603",2016-10-11,"insurance",6122
"604",2016-10-11,"legal",7387
"605",2016-10-11,"management",77831
"606",2016-10-11,"manufacturing",20476
"607",2016-10-11,"marketing",15556
"608",2016-10-11,"math",4836
"609",2016-10-11,"meddental",3534
"610",2016-10-11,"meddr",6659
"611",2016-10-11,"media",7106
"612",2016-10-11,"medinfo",18901
"613",2016-10-11,"mednurse",46549
"614",2016-10-11,"medtech",29021
"615",2016-10-11,"military",482
"616",2016-10-11,"mining",168
"617",2016-10-11,"personal",3582
"618",2016-10-11,"pharmacy",5101
"619",2016-10-11,"project",13394
"620",2016-10-11,"protective",16323
"621",2016-10-11,"realestate",5542
"622",2016-10-11,"retail",59732
"623",2016-10-11,"sales",52630
"624",2016-10-11,"sanitation",21063
"625",2016-10-11,"science",11545
"626",2016-10-11,"service",32794
"627",2016-10-11,"socialscience",908
"628",2016-10-11,"sports",3561
"629",2016-10-11,"tech",208
"630",2016-10-11,"techhelp",11535
"631",2016-10-11,"techinfo",19874
"632",2016-10-11,"techsoftware",29092
"633",2016-10-11,"therapy",9978
"634",2016-10-11,"transport",3910
"635",2016-10-11,"uncategorized",25286
"636",2016-10-11,"veterinary",4797
"637",2016-10-11,"warehouse",30621
"638",2016-10-11,NA,46555
"639",2016-10-12,"accounting",27523
"640",2016-10-12,"admin",80491
"641",2016-10-12,"agriculture",335
"642",2016-10-12,"arch",1795
"643",2016-10-12,"arts",5430
"644",2016-10-12,"aviation",816
"645",2016-10-12,"care",8601
"646",2016-10-12,"childcare",15205
"647",2016-10-12,"construction",13952
"648",2016-10-12,"customer",50955
"649",2016-10-12,"driver",32463
"650",2016-10-12,"education",27026
"651",2016-10-12,"engchem",498
"652",2016-10-12,"engcivil",1857
"653",2016-10-12,"engelectric",2719
"654",2016-10-12,"engid",5694
"655",2016-10-12,"engmech",2379
"656",2016-10-12,"finance",5110
"657",2016-10-12,"food",37287
"658",2016-10-12,"hospitality",3025
"659",2016-10-12,"hr",17741
"660",2016-10-12,"install",47992
"661",2016-10-12,"insurance",5480
"662",2016-10-12,"legal",7574
"663",2016-10-12,"management",79180
"664",2016-10-12,"manufacturing",20868
"665",2016-10-12,"marketing",16065
"666",2016-10-12,"math",5068
"667",2016-10-12,"meddental",3959
"668",2016-10-12,"meddr",6554
"669",2016-10-12,"media",6238
"670",2016-10-12,"medinfo",17201
"671",2016-10-12,"mednurse",46253
"672",2016-10-12,"medtech",29387
"673",2016-10-12,"military",377
"674",2016-10-12,"mining",181
"675",2016-10-12,"personal",3736
"676",2016-10-12,"pharmacy",4886
"677",2016-10-12,"project",12965
"678",2016-10-12,"protective",14455
"679",2016-10-12,"realestate",5491
"680",2016-10-12,"retail",60135
"681",2016-10-12,"sales",52248
"682",2016-10-12,"sanitation",19638
"683",2016-10-12,"science",10621
"684",2016-10-12,"service",31906
"685",2016-10-12,"socialscience",909
"686",2016-10-12,"sports",3244
"687",2016-10-12,"tech",100
"688",2016-10-12,"techhelp",11407
"689",2016-10-12,"techinfo",20857
"690",2016-10-12,"techsoftware",30108
"691",2016-10-12,"therapy",9953
"692",2016-10-12,"transport",3811
"693",2016-10-12,"uncategorized",23887
"694",2016-10-12,"veterinary",4798
"695",2016-10-12,"warehouse",28774
"696",2016-10-12,NA,49890
"697",2016-10-13,"accounting",25868
"698",2016-10-13,"admin",80576
"699",2016-10-13,"agriculture",338
"700",2016-10-13,"arch",1854
"701",2016-10-13,"arts",4799
"702",2016-10-13,"aviation",722
"703",2016-10-13,"care",7361
"704",2016-10-13,"childcare",13183
"705",2016-10-13,"construction",12337
"706",2016-10-13,"customer",50544
"707",2016-10-13,"driver",32718
"708",2016-10-13,"education",25340
"709",2016-10-13,"engchem",340
"710",2016-10-13,"engcivil",1795
"711",2016-10-13,"engelectric",2632
"712",2016-10-13,"engid",5424
"713",2016-10-13,"engmech",2194
"714",2016-10-13,"finance",4900
"715",2016-10-13,"food",38939
"716",2016-10-13,"hospitality",3117
"717",2016-10-13,"hr",17435
"718",2016-10-13,"install",44420
"719",2016-10-13,"insurance",5424
"720",2016-10-13,"legal",6487
"721",2016-10-13,"management",73274
"722",2016-10-13,"manufacturing",20332
"723",2016-10-13,"marketing",13673
"724",2016-10-13,"math",4964
"725",2016-10-13,"meddental",3361
"726",2016-10-13,"meddr",6340
"727",2016-10-13,"media",6047
"728",2016-10-13,"medinfo",15787
"729",2016-10-13,"mednurse",45070
"730",2016-10-13,"medtech",27679
"731",2016-10-13,"military",337
"732",2016-10-13,"mining",116
"733",2016-10-13,"personal",3646
"734",2016-10-13,"pharmacy",5159
"735",2016-10-13,"project",12240
"736",2016-10-13,"protective",13150
"737",2016-10-13,"realestate",5363
"738",2016-10-13,"retail",57617
"739",2016-10-13,"sales",50209
"740",2016-10-13,"sanitation",17769
"741",2016-10-13,"science",10556
"742",2016-10-13,"service",30529
"743",2016-10-13,"socialscience",827
"744",2016-10-13,"sports",3025
"745",2016-10-13,"tech",349
"746",2016-10-13,"techhelp",10530
"747",2016-10-13,"techinfo",18274
"748",2016-10-13,"techsoftware",25748
"749",2016-10-13,"therapy",11746
"750",2016-10-13,"transport",4008
"751",2016-10-13,"uncategorized",23076
"752",2016-10-13,"veterinary",4761
"753",2016-10-13,"warehouse",31608
"754",2016-10-13,NA,66823
"755",2016-10-14,"accounting",22278
"756",2016-10-14,"admin",74038
"757",2016-10-14,"agriculture",329
"758",2016-10-14,"arch",1453
"759",2016-10-14,"arts",4254
"760",2016-10-14,"aviation",456
"761",2016-10-14,"care",6527
"762",2016-10-14,"childcare",12508
"763",2016-10-14,"construction",11144
"764",2016-10-14,"customer",46059
"765",2016-10-14,"driver",27287
"766",2016-10-14,"education",23389
"767",2016-10-14,"engchem",309
"768",2016-10-14,"engcivil",1572
"769",2016-10-14,"engelectric",2435
"770",2016-10-14,"engid",5283
"771",2016-10-14,"engmech",1729
"772",2016-10-14,"finance",4820
"773",2016-10-14,"food",32580
"774",2016-10-14,"hospitality",2559
"775",2016-10-14,"hr",15376
"776",2016-10-14,"install",41779
"777",2016-10-14,"insurance",5050
"778",2016-10-14,"legal",6758
"779",2016-10-14,"management",64922
"780",2016-10-14,"manufacturing",16222
"781",2016-10-14,"marketing",14012
"782",2016-10-14,"math",4160
"783",2016-10-14,"meddental",2769
"784",2016-10-14,"meddr",5536
"785",2016-10-14,"media",5172
"786",2016-10-14,"medinfo",13940
"787",2016-10-14,"mednurse",40348
"788",2016-10-14,"medtech",23954
"789",2016-10-14,"military",271
"790",2016-10-14,"mining",128
"791",2016-10-14,"personal",3623
"792",2016-10-14,"pharmacy",5007
"793",2016-10-14,"project",10500
"794",2016-10-14,"protective",11489
"795",2016-10-14,"realestate",4136
"796",2016-10-14,"retail",50376
"797",2016-10-14,"sales",44338
