"","X","state","clickratio","numpost","unemploy","population","gdp","numpost.ratio","pop.ratio","click.ratio","sumclick","realgdp"
"26",26,"MT",0.326911236664287,32542,4.1,"1,050,493",0.2,0.00233245872701309,0.0032320354871185,0.00191381209825005,773112,3.4
"27",27,"NC",0.211917236793871,465441,4.5,"10,273,419",2.8,0.033360639246503,0.0316080685754569,0.00479114964042267,1935454,47.6
"28",28,"ND",0.318908718077837,34349,2.6,"755,393",0.3,0.00246197605599449,0.00232410590334339,0.00917056500294829,3704582,5.1
"29",29,"NE",0.403273340518555,76723,2.8,"1,920,076",0.6,0.00549914666930814,0.00590746798880577,0.00493688029552048,1994324,10.2
"30",30,"NH",0.143735421125153,77322,2.6,"1,342,795",0.4,0.00554208019452112,0.00413135650777805,0.0298767374373461,12069139,6.8
"31",31,"NJ",0.0984300537097137,412227,4.6,"9,005,644",3.1,0.0295465080099695,0.0277075249357738,0.00382972091579461,1547071,52.7
"32",32,"NM",0.310232044941699,61853,5.8,"2,088,070",0.5,0.00443333444907937,0.00642433251776787,0.0647739367879928,26166366,8.5
"33",33,"NV",0.389405876290496,115867,4.9,"2,998,039",0.8,0.00830480595300922,0.00922401999800594,0.0365462183287363,14763372,13.6
"34",34,"NY",0.186471365569067,843949,4.6,"19,849,399",8.1,0.0604903266610526,0.0610703374186924,0.00204500929528638,826111,137.7
"35",35,"OH",0.208975619647164,530968,4.5,"11,658,609",3.4,0.0380573088735999,0.0358698611208633,0.0366741305830291,14815044,57.8
"36",36,"OK",0.257786678155601,133688,4.1,"3,930,864",1,0.0095821320845961,0.012094028178233,0.0093080969162475,3760140,17
"37",37,"OR",0.252955398200462,164283,4.1,"4,142,776",1.2,0.0117750389358334,0.0127460145352542,0.0105000459409268,4241645,20.4
"38",38,"PA",0.206762636689075,608127,4.8,"12,805,537",3.9,0.043587705988639,0.0393985966737607,0.0430440801466321,17388277,66.3
"39",39,"RI",0.140542648194311,50449,4.5,"1,059,639",0.3,0.00361594893734508,0.00326017484317816,0.00353623467480452,1428513,5.1
"40",40,"SC",0.183089441256847,212875,4.4,"5,024,369",1.1,0.0152578867774849,0.015458398017291,0.0160034216676551,6464813,18.7
"41",41,"SD",0.338942043940995,29933,3.4,"869,666",0.3,0.0021454577799669,0.00267568786649734,0.00178236240373079,720011,5.1
"42",42,"TN",0.228851745124293,276187,3.4,"6,715,984",1.8,0.0197957955392282,0.0206629635979678,0.0205166012849602,8287977,30.6
"43",43,"TX",0.27665214834559,1125462,4,"28,304,596",8.6,0.0806678650304717,0.0870843106242043,0.0885069896365601,35753675,146.2
"44",44,"UT",0.212840339576754,129460,3.1,"3,101,833",0.9,0.00927908877140664,0.00954336138471673,0.00826698790749699,3339569,15.3
"45",45,"VA",0.189095053215802,443887,3.5,"8,470,020",2.7,0.0318157490921781,0.0260595788992439,0.00168594302176952,681061,45.9
"46",46,"VT",0.140425013324798,28938,2.8,"623,657",0.2,0.00207414082239275,0.00191879579948639,0.0308815660234515,12475054,3.4
"47",47,"WA",0.21262423687637,330191,4.7,"7,405,743",2.6,0.0236665502898156,0.0227851343935461,0.0212553866408181,8586420,44.2
"48",48,"WI",0.228157541268397,276375,2.9,"5,795,483",1.7,0.0198092705020664,0.0178308724770103,0.00372558055687988,1505002,28.9
"49",49,"WV",0.185874171595785,55397,5.4,"1,815,857",0.4,0.00397059849119121,0.00558681901120001,0.0168615021823345,6811447,6.8
"50",50,"WY",0.309335490293678,16858,4,"579,315",0.2,0.00120830278470858,0.0017823694572168,0.00099464204549518,401800,3.4
