"","stateProvince","normTitleCategory","mean.estimatedSalary"
"79","AL","management",50351.3802245789
"80","AL","manufacturing",31497.6091807459
"81","AL","marketing",46959.1246903386
"82","AL","math",69141.0493827161
"83","AL","meddental",54724.4943820225
"84","AL","meddr",140016.536050157
"85","AL","media",45696.4285714286
"86","AL","medinfo",34922.2222222222
"87","AL","mednurse",53467.0964614639
"88","AL","medtech",41032.1041666667
"89","AL","military",41018.6813186813
"90","AL","personal",33475.1371115174
"91","AL","pharmacy",40148.7068965517
"92","AL","project",70142.7419354839
"93","AL","protective",28126.0923076923
"94","AL","realestate",44615.8631415241
"95","AL","retail",27168.0623400791
"96","AL","sales",46215.8742588656
"97","AL","sanitation",24468.2251614888
"98","AL","science",53703.1630170316
"99","AL","service",40755.3213909378
"100","AL","socialscience",44609.6774193548
"101","AL","sports",53079.7833935018
"102","AL","tech",36788.8888888889
"103","AL","techhelp",58273.7463126844
"104","AL","techinfo",70590.6468891636
"105","AL","techsoftware",84580.7750759878
"106","AL","therapy",62040.5845711548
"107","AL","transport",31434.0269277846
"108","AL","uncategorized",37136.201515827
"109","AL","veterinary",23831.8518518519
"110","AL","warehouse",24279.4918330309
"111","AL",NA,39250.2846814279
"112","AR","accounting",49544.2327497425
"113","AR","admin",35114.4057011962
"114","AR","agriculture",20358.3333333333
"115","AR","arch",79610.1265822785
"116","AR","arts",34728.6374133949
"117","AR","care",25952.636127917
"118","AR","childcare",27505.7486631016
"119","AR","construction",32842.2222222222
"120","AR","customer",26889.5752895753
"121","AR","driver",38206.5008479367
"122","AR","education",37762.8781684383
"123","AR","engchem",32900
"124","AR","engcivil",67063.0573248408
"125","AR","engelectric",70510.7954545455
"126","AR","engid",78636.261682243
"127","AR","engmech",84270.7317073171
"128","AR","finance",51128.1456953642
"129","AR","food",24253.4033705406
"130","AR","hospitality",30548.7603305785
"131","AR","hr",69448.3835005574
"132","AR","install",35717.6165803109
"133","AR","insurance",43071.7791411043
"134","AR","legal",53994.5525291829
"135","AR","management",52008.1638378454
"136","AR","manufacturing",30867.8286434271
"137","AR","marketing",42323.0894308943
"138","AR","math",49245.0142450142
"139","AR","meddental",46959.2145015106
"140","AR","meddr",116521.915584416
"141","AR","media",47165.2671755725
"142","AR","medinfo",32039.801980198
"143","AR","mednurse",52019.8739557379
"144","AR","medtech",39549.759954815
"145","AR","military",36544.4444444444
"146","AR","personal",29992.9292929293
"147","AR","pharmacy",38412.5360230548
"148","AR","project",70165.2920962199
"149","AR","protective",30792.2279792746
"150","AR","realestate",34919.5729537367
"151","AR","retail",28229.9905774667
"152","AR","sales",48203.0157068063
"153","AR","sanitation",23722.0920138889
"154","AR","science",34724.2857142857
"155","AR","service",38137.8636561007
"156","AR","socialscience",68035.0877192982
"157","AR","sports",36798.2857142857
"158","AR","tech",33700
"159","AR","techhelp",67489.5538628944
"160","AR","techinfo",77093.3598937583
"161","AR","techsoftware",83670.7955689829
"162","AR","therapy",57042.6567656766
"163","AR","transport",34855.4924242424
"164","AR","uncategorized",33149.4935543278
"165","AR","veterinary",24981.1224489796
"166","AR","warehouse",23270.5118411001
"167","AR",NA,38940.7407407407
"168","AS","engcivil",40200
"169","AS","engid",76100
"170","AS","management",71500
"171","AS","meddr",128100
"172","AS","techhelp",66900
"173","AZ","accounting",54594.8670553107
"174","AZ","admin",34343.5032784692
"175","AZ","agriculture",32500
"176","AZ","arch",57393.8144329897
"177","AZ","arts",51990.9638554217
"178","AZ","aviation",59236.9901547117
"179","AZ","care",23195.4018547141
"180","AZ","childcare",26423.2807443366
"181","AZ","construction",35665.2201257862
"182","AZ","customer",26752.7569593148
"183","AZ","driver",35231.4227486944
"184","AZ","education",41950.9233108842
"185","AZ","engchem",68635.6589147287
"186","AZ","engcivil",71812.8593040847
"187","AZ","engelectric",71120.4055766793
"188","AZ","engid",81832.2860238353
"189","AZ","engmech",76894.125
"190","AZ","finance",62488.163787588
"191","AZ","food",24732.4229735642
"192","AZ","hospitality",31647.4576271186
"193","AZ","hr",58408.6047206454
"194","AZ","install",38017.6429445707
"195","AZ","insurance",44040.0572246066
"196","AZ","legal",67392.4528301887
"197","AZ","management",59605.2767690107
"198","AZ","manufacturing",34953.1368821293
"199","AZ","marketing",50009.9021084337
"200","AZ","math",64713.5646687697
"201","AZ","meddental",51909.450726979
"202","AZ","meddr",113344.970618735
"203","AZ","media",45758.7991718426
"204","AZ","medinfo",37773.4783734784
"205","AZ","mednurse",59459.5253413396
"206","AZ","medtech",39395.8504221954
"207","AZ","military",67864.9122807018
"208","AZ","mining",34375
"209","AZ","personal",38116.223265519
"210","AZ","pharmacy",46057.0012925463
"211","AZ","project",70845.9803661449
"212","AZ","protective",31936.6558537305
"213","AZ","realestate",49733.9590443686
"214","AZ","retail",27216.1387539209
"215","AZ","sales",49874.9201173785
"216","AZ","sanitation",23671.9519768164
"217","AZ","science",56992.5090909091
"218","AZ","service",39110.8838568298
"219","AZ","socialscience",48703.8186157518
"220","AZ","sports",38785.549132948
"221","AZ","tech",33700
"222","AZ","techhelp",59156.4866760168
"223","AZ","techinfo",72081.3767670559
"224","AZ","techsoftware",87805.3489476183
"225","AZ","therapy",55370.4570791527
"226","AZ","transport",42386.0401459854
"227","AZ","uncategorized",37724.4955342375
"228","AZ","veterinary",32043.5956790123
"229","AZ","warehouse",24432.866398179
"230","AZ",NA,40100.1963993453
"231","CA","accounting",61446.170782876
"232","CA","admin",38575.9716154734
"233","CA","agriculture",41889.6373056995
"234","CA","arch",75823.1336928754
"235","CA","arts",56493.7571498611
"236","CA","aviation",59818.0212014134
"237","CA","care",24744.596452633
"238","CA","childcare",27701.009499326
"239","CA","construction",36913.1551567174
"240","CA","customer",29847.9406781083
"241","CA","driver",36323.7281617405
"242","CA","education",45731.280252543
"243","CA","engchem",75487.6838235294
"244","CA","engcivil",82954.9091940976
"245","CA","engelectric",85522.438563327
"246","CA","engid",90608.0253201397
"247","CA","engmech",85495.6430191124
"248","CA","finance",66281.3187999137
"249","CA","food",25932.8626993388
"250","CA","hospitality",33978.6398820494
"251","CA","hr",62477.6718670972
"252","CA","install",40184.9144548485
"253","CA","insurance",49594.5910672854
"254","CA","legal",74024.7652670322
"255","CA","management",69881.2884391452
"256","CA","manufacturing",34946.6546184739
"257","CA","marketing",62313.0338406975
"258","CA","math",81834.6924345982
"259","CA","meddental",49880.9978917779
"260","CA","meddr",120016.014621616
"261","CA","media",52307.900572907
"262","CA","medinfo",42551.1319584432
"263","CA","mednurse",61031.5534809586
"264","CA","medtech",47161.73649421
"265","CA","military",46449.6774193548
"266","CA","mining",54850.6024096386
"267","CA","personal",41416.7624888208
"268","CA","pharmacy",53667.7476564479
"269","CA","project",81059.8778331458
"270","CA","protective",34737.1718377088
"271","CA","realestate",56257.3957172917
"272","CA","retail",29710.4167113475
"273","CA","sales",55571.3100240805
"274","CA","sanitation",25124.8989205103
"275","CA","science",66954.6855606123
"276","CA","service",44193.9942674989
"277","CA","socialscience",67320
"278","CA","sports",36720.7565205517
"279","CA","tech",35881.4432989691
"280","CA","techhelp",69310.992631642
"281","CA","techinfo",81229.282515545
"282","CA","techsoftware",102186.536340319
"283","CA","therapy",62488.6768196203
"284","CA","transport",49429.3357627961
"285","CA","uncategorized",45526.7325008706
"286","CA","veterinary",31178.3190837232
"287","CA","warehouse",25286.7659598658
"288","CA",NA,46543.2836509196
"289","CO","accounting",59164.1180306488
"290","CO","admin",37913.9518413598
"291","CO","agriculture",86921.1009174312
"292","CO","arch",78020.6049149338
"293","CO","arts",52779.3375394322
"294","CO","aviation",56116.4893617021
"295","CO","care",23722.5188624492
"296","CO","childcare",26616.030293468
"297","CO","construction",34561.4270500533
"298","CO","customer",28059.7179939112
"299","CO","driver",36647.6723506643
"300","CO","education",41045.3905182382
"301","CO","engchem",78994.623655914
"302","CO","engcivil",75333.8535414166
"303","CO","engelectric",81479.8514391829
"304","CO","engid",87023.4172077922
"305","CO","engmech",80006.4587973274
"306","CO","finance",61696.6594827586
"307","CO","food",24618.6334626455
"308","CO","hospitality",26627.3854961832
"309","CO","hr",56105.8012486993
"310","CO","install",36618.7656570257
"311","CO","insurance",49924.4549763033
"312","CO","legal",66746.4114832536
"313","CO","management",58676.7478432782
"314","CO","manufacturing",34019.5928196147
"315","CO","marketing",53504.1556569781
"316","CO","math",73555.7617942769
"317","CO","meddental",52606.2325581395
"318","CO","meddr",125418.935236004
"319","CO","media",46522.8260869565
"320","CO","medinfo",40074.6153846154
"321","CO","mednurse",54667.0903282811
"322","CO","medtech",41345.8425655977
"323","CO","military",36608.5714285714
"324","CO","mining",60025.3164556962
"325","CO","personal",39636.0808709176
"326","CO","pharmacy",51358.6901763224
"327","CO","project",75620.8892200695
"328","CO","protective",36618.1176470588
"329","CO","realestate",52195.2566601689
"330","CO","retail",28563.9257599264
"331","CO","sales",53504.4252948037
"332","CO","sanitation",23882.2189686026
"333","CO","science",56610.6683804627
"334","CO","service",39972.4675324675
"335","CO","socialscience",48842.578125
"336","CO","sports",37991.3731128684
"337","CO","tech",51900
"338","CO","techhelp",63486.7004543866
"339","CO","techinfo",71339.3904320988
"340","CO","techsoftware",92553.1126719908
"341","CO","therapy",57005.7361376673
"342","CO","transport",46577.5229357798
"343","CO","uncategorized",42491.3345568957
"344","CO","veterinary",35416.7019027484
"345","CO","warehouse",24924.7056816243
"346","CO",NA,42774.4851198314
"347","CT","accounting",63954.2719338539
"348","CT","admin",38126.8852050355
"349","CT","agriculture",36106.25
"350","CT","arch",84592
"351","CT","arts",45738.6740331492
"352","CT","aviation",40366.9064748201
"353","CT","care",26699.5790739627
"354","CT","childcare",26719.1662785282
"355","CT","construction",33549.4063324538
"356","CT","customer",28778.968444658
"357","CT","driver",36131.134367408
"358","CT","education",43221.8367719555
"359","CT","engchem",80153.6231884058
"360","CT","engcivil",64017.0124481328
"361","CT","engelectric",72535.5504587156
"362","CT","engid",77136.1037234043
"363","CT","engmech",77170.7724425887
"364","CT","finance",59854.0192926045
"365","CT","food",26838.8223246288
"366","CT","hospitality",33606.4837905237
"367","CT","hr",66938.6286817962
"368","CT","install",38762.3405612245
"369","CT","insurance",53974.5925215724
"370","CT","legal",66649.860724234
"371","CT","management",70289.2232277526
"372","CT","manufacturing",36127.6555476697
"373","CT","marketing",55785.8464012867
"374","CT","math",75522.7675528289
"375","CT","meddental",44407.057890563
"376","CT","meddr",126211.927528938
"377","CT","media",48943.4392828036
"378","CT","medinfo",39113.9232270657
"379","CT","mednurse",57121.9136799053
"380","CT","medtech",49673.9298724954
"381","CT","military",31458.8888888889
"382","CT","personal",37556.3716258632
"383","CT","pharmacy",47802.9411764706
"384","CT","project",75792.1375921376
"385","CT","protective",33676.4258555133
"386","CT","realestate",57764.8648648649
"387","CT","retail",28003.5398230089
"388","CT","sales",52455.5778223113
"389","CT","sanitation",25995.8139534884
"390","CT","science",76526.3033175356
"391","CT","service",40315.2772466539
"392","CT","socialscience",48634.4660194175
"393","CT","sports",37722.821969697
"394","CT","techhelp",59396.2929475588
"395","CT","techinfo",78346.4808362369
"396","CT","techsoftware",89181.9096710849
"397","CT","therapy",63838.7706043956
"398","CT","transport",54634.7354138399
"399","CT","uncategorized",34533.1212805253
"400","CT","veterinary",27654.0489642185
"401","CT","warehouse",26002.8486866445
"402","CT",NA,44676.8180205747
"403","DC","accounting",69114.889123548
"404","DC","admin",48322.4448078495
"405","DC","arch",81807.8034682081
"406","DC","arts",52908.883248731
"407","DC","aviation",93622.3404255319
"408","DC","care",28347.3895582329
"409","DC","childcare",30908.3015267176
"410","DC","construction",48300.8213552361
"411","DC","customer",38425.3467843632
"412","DC","driver",37082.1016166282
"413","DC","education",49424.9652777778
"414","DC","engchem",45300
"415","DC","engcivil",80798.75
"416","DC","engelectric",75763.5294117647
"417","DC","engid",98488.3544303798
"418","DC","engmech",82553.5294117647
"419","DC","finance",84142.3670668954
"420","DC","food",30906.4776338304
"421","DC","hospitality",35063.8783269962
"422","DC","hr",69288.7745556595
"423","DC","install",47957.508789553
"424","DC","insurance",76577.2020725389
"425","DC","legal",73767.6841676842
"426","DC","management",78018.8294722174
"427","DC","manufacturing",40793.7007874016
"428","DC","marketing",58151.7318938372
"429","DC","math",71283.7936425221
"430","DC","meddental",69812.6016260163
"431","DC","meddr",106514.260869565
"432","DC","media",53778.2358581016
"433","DC","medinfo",44571.0801393728
"434","DC","mednurse",69906.4657055483
"435","DC","medtech",47335.523255814
"436","DC","military",50915.5172413793
"437","DC","personal",46095.7894736842
"438","DC","pharmacy",58775.4658385093
"439","DC","project",78874.9253731343
"440","DC","protective",51857.5814536341
"441","DC","realestate",52392.1739130435
"442","DC","retail",41046.9291338583
"443","DC","sales",66356.805019305
"444","DC","sanitation",25636.8794326241
"445","DC","science",64279.7219003476
"446","DC","service",49390.5420991926
"447","DC","socialscience",82192.7868852459
"448","DC","sports",44492.6136363636
"449","DC","tech",65700
"450","DC","techhelp",74675.1290322581
"451","DC","techinfo",81706.5348070584
"452","DC","techsoftware",97640.4949196985
"453","DC","therapy",70510.5200945626
"454","DC","transport",76382.6086956522
"455","DC","uncategorized",53482.3353293413
"456","DC","veterinary",40235.2941176471
"457","DC","warehouse",37389.9713467049
"458","DC",NA,59385.4226909338
"459","DE","accounting",69043.0650684931
"460","DE","admin",35606.4941921858
"461","DE","agriculture",55900
"462","DE","arch",108019.718309859
"463","DE","arts",42156.5217391304
"464","DE","aviation",49881.25
"465","DE","care",20228.0346820809
"466","DE","childcare",26938.4460141271
"467","DE","construction",32633.264033264
"468","DE","customer",29205.0586057989
"469","DE","driver",41754.6573875803
"470","DE","education",43935.2850539291
"471","DE","engchem",101330
"472","DE","engcivil",76798.6206896552
"473","DE","engelectric",32081.5789473684
"474","DE","engid",82972.3618090452
"475","DE","engmech",72054.4
"476","DE","finance",68205.5821371611
"477","DE","food",24624.283985478
"478","DE","hospitality",39650
"479","DE","hr",69605.577689243
"480","DE","install",37798.7075155577
"481","DE","insurance",45652.8888888889
"482","DE","legal",69199.4505494505
"483","DE","management",69066.625577812
"484","DE","manufacturing",32346.6019417476
"485","DE","marketing",62716.0112359551
"486","DE","math",89648.433048433
"487","DE","meddental",38882.0512820513
"488","DE","meddr",127105.475504323
"489","DE","media",63670.5882352941
"490","DE","medinfo",27004.9019607843
"491","DE","mednurse",60235.3637312913
"492","DE","medtech",52566.4634146341
"493","DE","military",41020
"494","DE","personal",39968.0672268908
"495","DE","pharmacy",45886.2068965517
"496","DE","project",71064.1630901288
"497","DE","protective",33882.6666666667
"498","DE","realestate",55088.0733944954
"499","DE","retail",26084.6207865169
"500","DE","sales",53863.0298818624
"501","DE","sanitation",26087.7483443709
"502","DE","science",57811.4906832298
"503","DE","service",39347.1552555448
"504","DE","socialscience",55454.8387096774
"505","DE","sports",50283.152173913
"506","DE","techhelp",62873.0633802817
"507","DE","techinfo",70578.104875805
"508","DE","techsoftware",95110.7087827427
"509","DE","therapy",57281.799591002
"510","DE","transport",32056.1403508772
"511","DE","uncategorized",39972.8093947606
"512","DE","veterinary",50669.2307692308
"513","DE","warehouse",26192.3459244533
"514","DE",NA,45644.369850473
"515","FL","accounting",56027.6025312787
"516","FL","admin",35053.0302687284
"517","FL","agriculture",48266.090712743
"518","FL","arch",56800.5411906194
"519","FL","arts",45925.7689110557
"520","FL","aviation",51859.0222222222
"521","FL","care",26876.9281045752
"522","FL","childcare",26740.907598345
"523","FL","construction",35536.2268409668
"524","FL","customer",27604.1772769139
"525","FL","driver",34755.807587016
"526","FL","education",41881.3211524947
"527","FL","engchem",67362.0967741935
"528","FL","engcivil",72798.8378527947
"529","FL","engelectric",68225.5942947702
"530","FL","engid",83037.3478539398
"531","FL","engmech",77396.8773800457
"532","FL","finance",62594.8827292111
"533","FL","food",25155.3369122215
"534","FL","hospitality",26683.0873671783
"535","FL","hr",55250.9903556984
"536","FL","install",36905.0228139726
"537","FL","insurance",49913.0088054494
"538","FL","legal",59600.1137872179
"539","FL","management",54845.648318974
"540","FL","manufacturing",32501.4538064718
"541","FL","marketing",47991.6377578967
"542","FL","math",64107.6717811875
"543","FL","meddental",53276.423690205
"544","FL","meddr",126893.75
"545","FL","media",45228.0545670225
"546","FL","medinfo",40327.482113104
"547","FL","mednurse",53614.5778107659
"548","FL","medtech",42817.4581777962
"549","FL","military",41272.8395061728
"550","FL","mining",51668.8995215311
"551","FL","personal",39140.4933333333
"552","FL","pharmacy",45957.0765661253
"553","FL","project",78024.951489556
"554","FL","protective",30413.1977984949
"555","FL","realestate",50562.2981472038
"556","FL","retail",26774.6609379853
"557","FL","sales",48981.563963289
"558","FL","sanitation",24377.6302464274
"559","FL","science",51569.6317427386
"560","FL","service",42934.6379439053
"561","FL","socialscience",49804.7034764826
"562","FL","sports",38681.1484593838
"563","FL","tech",43950
"564","FL","techhelp",62086.8736193466
"565","FL","techinfo",74785.7711918419
"566","FL","techsoftware",88330.4978871946
"567","FL","therapy",59564.0985187133
"568","FL","transport",45990.3185247276
"569","FL","uncategorized",35569.6462275565
"570","FL","veterinary",30942.8120775124
"571","FL","warehouse",25011.9365928189
"572","FL",NA,40439.8188933542
"573","GA","accounting",56649.1032245755
"574","GA","admin",36905.68032459
"575","GA","agriculture",26695.5823293173
"576","GA","arch",63957.3893473368
"577","GA","arts",49666.7783361251
"578","GA","aviation",60583.4808259587
"579","GA","care",26480.7739810622
"580","GA","childcare",26587.2154860668
"581","GA","construction",33036.7925853111
"582","GA","customer",29200.9731290809
"583","GA","driver",40902.6226647506
"584","GA","education",40933.1170539237
"585","GA","engchem",61262.5
"586","GA","engcivil",76075.9124087591
"587","GA","engelectric",70819.425547997
"588","GA","engid",83285.5959502991
"589","GA","engmech",73682.7710843373
"590","GA","finance",66913.9163916392
"591","GA","food",25038.9571948998
"592","GA","hospitality",27417.8335535007
"593","GA","hr",61797.4292101341
"594","GA","install",37155.6614857833
"595","GA","insurance",50860.8577263445
"596","GA","legal",59936.7633726201
"597","GA","management",59273.5349554489
"598","GA","manufacturing",32210.970035551
"599","GA","marketing",56755.3103667249
"600","GA","math",70700.6672597865
"601","GA","meddental",49595.5861414333
"602","GA","meddr",117398.514557338
"603","GA","media",52581.3169164882
"604","GA","medinfo",35552.5406504065
"605","GA","mednurse",53221.0575660979
"606","GA","medtech",41434.0732351831
"607","GA","military",39255.7971014493
"608","GA","mining",45292.6605504587
"609","GA","personal",40580.1928783383
"610","GA","pharmacy",39057.4818986323
"611","GA","project",81779.7745131534
"612","GA","protective",35938.5914480776
"613","GA","realestate",55794.9387755102
"614","GA","retail",26827.9296433758
"615","GA","sales",51082.1257771401
"616","GA","sanitation",23824.231382373
"617","GA","science",64539.8962148962
"618","GA","service",42766.7354026481
"619","GA","socialscience",47480.5280528053
"620","GA","sports",42161.0795454545
"621","GA","tech",48522.8571428571
"622","GA","techhelp",70075.8746635909
"623","GA","techinfo",76106.2287775891
"624","GA","techsoftware",94609.1523626483
"625","GA","therapy",61527.2727272727
"626","GA","transport",52421.6439688716
"627","GA","uncategorized",35208.8094325153
"628","GA","veterinary",32583.4129692833
"629","GA","warehouse",24598.9673750374
"630","GA",NA,42767.2743877689
"631","GU","accounting",78164.2857142857
"632","GU","admin",32054.5454545455
"633","GU","aviation",53152.9411764706
"634","GU","childcare",27800
"635","GU","construction",51667.0967741935
"636","GU","driver",26800
"637","GU","education",46000
"638","GU","food",22955
"639","GU","hr",33500
"640","GU","install",50956.4885496183
"641","GU","meddr",176400
"642","GU","medinfo",25000
"643","GU","mednurse",89073.6842105263
"644","GU","personal",25400
"645","GU","pharmacy",65600
"646","GU","project",96450
"647","GU","protective",20000
"648","GU","retail",23952.8384279476
"649","GU","sales",36800
"650","GU","service",34600
"651","GU","techhelp",69500
"652","GU","techsoftware",35400
"653","GU","uncategorized",41200
"654","GU","warehouse",21600
"655","GU",NA,39257.4257425743
"656","HI","accounting",47843.4829059829
"657","HI","admin",35985.4290822408
"658","HI","agriculture",28019.3548387097
"659","HI","arts",41394.2028985507
"660","HI","aviation",57293.4579439252
"661","HI","care",25096.0199004975
"662","HI","childcare",27678.9637305699
"663","HI","construction",41900.641025641
"664","HI","customer",24127.8206541713
"665","HI","driver",27905.8697972252
"666","HI","education",42350
"667","HI","engcivil",80453.5519125683
"668","HI","engelectric",66528.0575539568
"669","HI","engid",72555.7228915663
"670","HI","finance",52421.4285714286
"671","HI","food",26512.6189895045
"672","HI","hospitality",21863.5014836795
"673","HI","hr",47638.3064516129
"674","HI","install",37859.2805755396
"675","HI","insurance",53926.4150943396
"676","HI","legal",47246.6666666667
"677","HI","management",51554.9836358227
"678","HI","manufacturing",37825.3424657534
"679","HI","marketing",31716.4383561644
"680","HI","math",73214.5348837209
"681","HI","meddental",53296.3265306122
"682","HI","meddr",136157.49486653
"683","HI","media",36506.5040650407
"684","HI","medinfo",32525.6055363322
"685","HI","mednurse",55804.0714995035
"686","HI","medtech",40828.527607362
"687","HI","military",39036.0824742268
"688","HI","personal",36856.5693430657
"689","HI","pharmacy",29636.4705882353
"690","HI","project",70121.3429256595
"691","HI","protective",25884.6517119244
"692","HI","realestate",48926.4150943396
"693","HI","retail",28432.1994287198
"694","HI","sales",43202.5279884435
"695","HI","sanitation",25183.2583258326
"696","HI","science",58778.4482758621
"697","HI","service",39468.2336182336
"698","HI","socialscience",74990.8653846154
"699","HI","sports",28716.9014084507
"700","HI","techhelp",60960.401459854
"701","HI","techinfo",81310.5326876513
"702","HI","techsoftware",70916.9533169533
"703","HI","therapy",63861.6892911011
"704","HI","transport",48414.0540540541
"705","HI","uncategorized",48580.3085299456
"706","HI","veterinary",25502.0408163265
"707","HI","warehouse",26092.2167487685
"708","HI",NA,38412.6390743213
"709","IA","accounting",47452.269987947
"710","IA","admin",32328.1515978802
"711","IA","agriculture",38217.0454545455
"712","IA","arch",60772.9927007299
"713","IA","arts",41520.3862660944
"714","IA","aviation",33060
"715","IA","care",22523.1725146199
"716","IA","childcare",26229.9140401146
"717","IA","construction",31365.5755015839
"718","IA","customer",26038.5958530375
"719","IA","driver",38512.3361344538
"720","IA","education",43040.4836542768
"721","IA","engchem",53521.9512195122
"722","IA","engcivil",64336.1445783133
"723","IA","engelectric",91379.3233082707
"724","IA","engid",72312.5500667557
"725","IA","engmech",81898.9743589744
"726","IA","finance",48229.2433537832
"727","IA","food",24223.0915727662
"728","IA","hospitality",27502.0408163265
"729","IA","hr",56451.1171293162
"730","IA","install",36069.0920096852
"731","IA","insurance",46699.8648648649
"732","IA","legal",65716.991643454
"733","IA","management",53176.1012601762
"734","IA","manufacturing",30629.7958154777
"735","IA","marketing",50396.5137614679
"736","IA","math",86895.9107806691
"737","IA","meddental",49857.174392936
"738","IA","meddr",138207.234617985
"739","IA","media",48608.4188911704
"740","IA","medinfo",35671.40625
"741","IA","mednurse",49828.738512949
"742","IA","medtech",38094.8237059265
"743","IA","military",53067
"744","IA","mining",37400
"745","IA","personal",40418.4757505774
"746","IA","pharmacy",37408.8150289017
"747","IA","project",73435.7933579336
"748","IA","protective",30298.2663514578
"749","IA","realestate",37375.4257907543
"750","IA","retail",25544.5906101157
"751","IA","sales",50014.8320895522
"752","IA","sanitation",23793.7608318891
"753","IA","science",48406.5693430657
"754","IA","service",38137.351543943
"755","IA","socialscience",90263.7037037037
"756","IA","sports",36952.7624309392
"757","IA","tech",46447.4226804124
"758","IA","techhelp",49027.9929577465
"759","IA","techinfo",65419.9337382662
"760","IA","techsoftware",83410.8678343949
"761","IA","therapy",61977.8374748153
"762","IA","transport",31155.5555555556
"763","IA","uncategorized",28881.981676281
"764","IA","veterinary",28543.9068100358
"765","IA","warehouse",25527.955801105
"766","IA",NA,36595.6463250581
"767","ID","accounting",54251.0309278351
"768","ID","admin",31927.7253866465
"769","ID","arch",102760
"770","ID","arts",30483.3333333333
"771","ID","aviation",47068.75
"772","ID","care",21234.6753246753
"773","ID","childcare",26732.4675324675
"774","ID","construction",31933.6828309305
"775","ID","customer",25241.2132352941
"776","ID","driver",34702.83203125
"777","ID","education",41341.0938654841
"778","ID","engchem",92500
"779","ID","engcivil",66912.188365651
"780","ID","engelectric",95148.1481481481
"781","ID","engid",76763.3484162896
"782","ID","engmech",52150.9433962264
"783","ID","finance",57934.5195729537
"784","ID","food",22962.5548902196
"785","ID","hospitality",28760
"786","ID","hr",54152.5510204082
"787","ID","install",34769.9662249935
"788","ID","insurance",38944.8275862069
"789","ID","legal",44700
"790","ID","management",52620.4124249543
"791","ID","manufacturing",26630.0091491308
"792","ID","marketing",57432.5744308231
"793","ID","meddental",36134.6368715084
"794","ID","meddr",126738.52739726
"795","ID","media",47754.1125541126
"796","ID","medinfo",33615.9857904085
"797","ID","mednurse",52150.3297818366
"798","ID","medtech",37935.9346642468
"799","ID","military",36317.5
"800","ID","personal",35298.8571428571
"801","ID","pharmacy",73958.6497890295
"802","ID","project",80053.2584269663
"803","ID","protective",34853.2763532764
"804","ID","realestate",38886.6310160428
"805","ID","retail",25885.0730006537
"806","ID","sales",46940.4884667571
"807","ID","sanitation",24085.4136429608
"808","ID","science",50957.5150300601
"809","ID","service",44151.4047076689
